name,url,price,sentiment
dollarcoin,https://bitcointalk.org/index.php?topic=1589371.0,0.008842,NA
donationcoin,http://donationcoin.org/,5.81e-4,NA
dopecoin,http://www.dopecoin.com/,0.021312,NA
dotcoin,https://www.cryptopia.co.nz,0.00532,NA
doubloon,http://doubloonboat.com/,0.00183,NA
dpay,https://bitcointalk.org/index.php?topic=1614252.0,1.98e-4,-0.1111111111111111
draftcoin,https://bitcointalk.org/index.php?topic=2144790.0,0.578507,NA
dreamcoin,http://dreamcoin.fi/,0.025997,NA
droxne,http://droxne.net/,0.001649,NA
dubaicoin,http://dubaicoin.org/,7.57,NA
dubstep,https://bitcointalk.org/index.php?topic=1081671.0,0.00132,NA
dutch-coin,https://www.dutchcoin.net/,5.28e-4,NA
dynamic,https://duality.solutions/,3.21,0.11764705882352941
e-coin,https://www.ecoinsource.com/,3,-0.22448979591836735
e-dinar-coin,https://edinarcoin.com/,0.008598,NA
e-gulden,http://www.e-gulden.org,0.174712,NA
earthcoin,http://getearthcoin.com/,3.75e-4,NA
ebittree-coin,https://www.ebittree.com/,4.05e-4,NA
ecocoin,http://www.ecocoin.us/,0.191941,NA
edrcoin,https://edrcoin.com/,0.04011,NA
eggcoin,https://bitcointalk.org/index.php?topic=1013555.0,0.029135,NA
ego,https://bitcointalk.org/index.php?topic=1631176.0,3.3e-4,0.12280701754385964
einsteinium,https://www.emc2.foundation/,0.068653,NA
elacoin,http://elc.22web.org/,0.071985,NA
elastic,https://www.elastic.pw/,0.274491,-0.0625
elcoin,NA,44.41,NA
electra,https://electraproject.org/,6e-6,NA
electroneum,http://electroneum.com/,0.031691,NA
elementrem,http://www.elementrem.org/,0.020455,NA
ellaism,https://ellaism.com/,0.182972,NA
elysium,https://bitcointalk.org/index.php?topic=1777414.0,0.001914,NA
embercoin,https://www.embercoin.io/,3e-6,NA
emercoin,http://emercoin.com/,0.685297,NA
emoneypower,http://coinmoney.co/,0.014054,NA
energycoin,https://energycoin.eu/,0.109467,NA
enigma,http://www.enigmacoin.exnet.su/,0.19861,-0.3492063492063492
environ,https://bitcointalk.org/index.php?topic=1929166,6e-6,-0.07272727272727272
equitrader,http://www.equitrader.co/,0.55282,NA
eryllium,https://eryllium.com/,0.006396,NA
espers,http://espers.io/,6.7e-5,-0.14705882352941177
eternity,http://ent.eternity-group.org/,0.075643,-0.14285714285714285
ethereum-classic,https://ethereumclassic.github.io/,14.6,NA
ethereum-dark,https://www.ethereumdark.net/,0.201807,NA
ethereum,https://www.ethereum.org/,299.25,-0.03571428571428571
eurocoin,http://eurocoin-euc.com/,0.004374,NA
europecoin,https://www.europecoin.eu.org,0.495074,NA
evergreencoin,http://evergreencoin.org/,0.222088,NA
evil-coin,http://evilcoin.xyz/,0.005859,NA
evotion,http://evotion.info/,0.034108,NA
excelcoin,https://www.exceltoken.com/wallet/coin.php?coin_id=6,1.38e-4,NA
exclusivecoin,http://exclusivecoin.pw,1.24,0.7647058823529411
expanse,http://www.expanse.tech/,1.81,-0.26666666666666666
factom,http://factom.org/,17.54,0.14285714285714285
faircoin,http://fair-coin.org/,0.945873,NA
falcoin,http://falcoin.info/,0.007456,NA
fantomcoin,http://fantomcoin.org/,0.092377,NA
fargocoin,https://fargocoin.org/,8.34,NA
fastcoin,http://www.fastcoin.ca/,0.007549,NA
fazzcoin,http://fazzcoin.org/,0.002577,NA
feathercoin,http://feathercoin.com,0.105635,-0.22448979591836735
fedoracoin,http://fedoraco.in/,5.3e-5,NA
fimkrypto,http://fimk.fi/,0.003959,NA
fincoin,http://fincoin.co/,0.054079,NA
firecoin,https://bitcointalk.org/index.php?topic=972809.0,0.705429,NA
fireflycoin,https://cryptocointalk.com/topic/1450-fireflycoin-ffc-information/,6.6e-5,NA
first-bitcoin,http://bitcoincapitalcorp.com/,0.012471,NA
firstcoin,http://firstcoinproject.com/,15.62,NA
flappycoin,https://flappycoins.wordpress.com/,1e-6,NA
flash,https://flashcoin.io/,0.004289,-0.1
flavorcoin,http://www.flavorcoinradio.com/,0.00165,NA
flaxscript,http://flaxscript.org,0.01577,NA
florincoin,http://www.florincoin.org/,0.079246,NA
fluttercoin,http://www.fluttercoin.me/,5.75e-4,NA
flycoin,https://bitcointalk.org/index.php?topic=1154550.0,0.832117,NA
fonziecoin,https://bitcointalk.org/index.php?topic=979296.0,4.01e-4,NA
footy-cash,http://footycash.com/,0.170795,NA
force,https://forcecoin.io/,0.003227,0.1282051282051282
francs,http://www.francs.paris/,0.029288,0.047619047619047616
franko,http://frankos.org,0.080566,NA
frankywillcoin,https://bitcointalk.org/index.php?topic=2218168.0,0.002309,NA
frazcoin,http://frazcoin.org/,2.68e-4,NA
freicoin,http://freico.in,0.006334,-0.03225806451612903
fuelcoin,http://www.fuelcoin.org/,0.004223,NA
fujicoin,http://www.fujicoin.org/,3.44e-4,NA
futcoin,http://fut-coin.com/,0.001979,NA
fuzzballs,http://www.fyi-koerier.nl/fuzzballs.htm,0.004133,NA
gaia,http://gaiaplatform.com/,0.011679,NA
gambit,http://www.gambitcrypto.com,6.57,0
gamebet-coin,https://www.gamebet.gg/,0.001188,NA
gamecredits,http://gamecredits.com,1.81,NA
gameleaguecoin,https://bitcointalk.org/index.php?topic=595779.0,0.007126,NA
gameunits,http://gameunits.org/,0.012882,NA
ganjacoin,https://www.ganjacoinpro.com/,0.025404,NA
gapcoin,http://gapcoin.org,0.008182,NA
gbcgoldcoin,http://gbcgoldcoin.org/,0.002811,NA
gcoin,https://gcn.zone,4e-6,-0.2
geertcoin,https://bitcointalk.org/index.php?topic=1789401.0,0.002389,NA
geocoin,http://geocoin.cash/,0.98936,NA
geysercoin,http://geysercoin.com/,0.035631,NA
global-tour-coin,http://www.gtccoinclub.com/,0.003365,NA
globalboost-y,http://globalboost-y.com/,0.008105,NA
globalcoin,http://www.globalcoin.info/,0.003761,NA
globaltoken,http://globaltoken.org/,0.001485,NA
goldblocks,http://goldblocks.eu/,0.006889,NA
goldcoin,http://www.gldcoin.com,0.144542,NA
goldmaxcoin,http://gmxcoin.org/,4.64e-4,NA
goldpieces,http://goldpieces.net/,0.064425,NA
goldreserve,http://www.goldreservecoin.com/,0.009568,NA
golfcoin,https://bitcointalk.org/index.php?topic=1608804.0,6.6e-5,NA
golos-gold,https://golos.io/,0.096745,NA
golos,https://golos.io/,0.108646,NA
gpu-coin,http://gpucoin.usedgpus.com/,0.001302,NA
grantcoin,http://www.grantcoin.org/,0.003008,NA
greencoin,http://www.grcoin.com/,0.002573,NA
gridcoin,http://www.gridcoin.us/,0.039688,NA
grimcoin,http://grim.reaper.rocks/,0.00293,NA
groestlcoin,http://www.groestlcoin.org/,0.571295,NA
guccionecoin,https://guccionecoin.wordpress.com/,0.001716,NA
gulden,https://gulden.com/,0.087299,NA
gulfcoin,https://www.mygulfcoin.com/,0.007852,NA
guncoin,http://www.guncoin.info/,0.001055,NA
gxshares,https://gxs.gxb.io/,2.32,NA
halcyon,http://halcyon.top/,0.012471,NA
halloween-coin,https://bitcointalk.org/index.php?topic=1867413.0,1.71e-4,NA
happycoin,http://happycointech.org/,0.068648,NA
harmonycoin,https://bitcointalk.org/index.php?topic=639835,1.1e-4,NA
healthywormcoin,http://healthyworm.com/,4.62e-4,NA
helleniccoin,http://www.helleniccoin.gr/,0.020201,NA
hempcoin,http://hempcoin.org/,0.015176,NA
hexx,https://bitcointalk.org/index.php?topic=1171724.0,0.020321,NA
hicoin,http://xhicoin.com/,0.00442,NA
high-gain,https://bitcointalk.org/index.php?topic=2213950,0.003167,NA
high-voltage,http://www.highvoltagecoin.tech/,0.009932,NA
hitcoin,http://hitcoininfo.com/,6.6e-5,NA
hobonickels,http://hobonickels.info/,0.008974,NA
hodlcoin,http://hodlcoin.com,0.001188,NA
honey,http://honeycoin.info,0.469717,0.125
hshare,https://h.cash/,10.42,NA
htmlcoin,http://www.htmlcoin.com,1.4e-4,NA
huncoin,http://huncoin.org/,0.002903,NA
huntercoin,http://huntercoin.org/,0.087824,-1
hush,https://myhush.org/,1.72,-0.08771929824561403
hyper,http://hypercrypto.com/,0.016496,-0.046153846153846156
hyperstake,http://hyperstake.io/,0.001075,NA
i0coin,http://izerocoin.org,0.009992,NA
ibank,https://bitcointalk.org/index.php?topic=1542789.0,0.004487,-0.4690265486725664
icobid,http://icobidplatform.net/,4.48e-4,NA
icoin,http://www.icoin.world/,0.008452,-0.21212121212121213
iconic,http://iconicproject.com/,0.043483,0.1282051282051282
impact,http://impact-coin.com/,1.98e-4,-0.07272727272727272
impulsecoin,http://www.impulsecoin.io/,0.001254,NA
incakoin,http://incakoin.info/,1.32e-4,NA
india-coin,https://www.indiacoin.club/,2.64e-4,NA
infinitecoin,http://www.infiniteco.in,1e-5,NA
inflationcoin,http://inflationcoin.org/,1e-5,NA
influxcoin,http://influxcoin.xyz/,0.613552,NA
innova,http://innovacoin.info/,4.48,-0.5757575757575758
insanecoin,http://insanecoin.com/,0.078828,NA
interzone,https://interzone.space/,0.044343,NA
invisiblecoin,https://bitcointalk.org/index.php?topic=1204574.0,0.14523,NA
ion,https://ionomy.com/,1.06,-0.14468085106382977
iota,https://iota.org/,0.504601,-0.10526315789473684
irishcoin,http://irishcoin.org/,0.001782,NA
islacoin,http://www.islacoin.net/,0.048894,NA
iticoin,http://iticoin.com/,18.82,0.3
ixcoin,https://www.ixcoin.net/,0.080865,-0.33980582524271846
jewels,http://jewelsproject.com/,0.002309,NA
jin-coin,http://jin-coin.info/,0.003103,NA
jobscoin,http://jobscoin.us/,5.94e-4,NA
joincoin,https://bitcointalk.org/index.php?topic=737405.0,0.057997,NA
joulecoin,http://www.jouleco.in/,0.005092,NA
karbowanec,http://karbowanec.com/,0.542294,NA
karmacoin,http://www.givekarma.net/,6.6e-5,NA
kashhcoin,http://www.kashhcoin.com/,1.8e-5,NA
kayicoin,https://www.xn--kay-lua.net/,6.75e-4,NA
kekcoin,http://kekcoin.co/,0.065983,NA
kibicoin,http://www.kibicoin.org/,0.002531,NA
kilocoin,http://kilocoin.com/,7.92e-4,NA
kingn-coin,http://kingncoin.com/,6.24,NA
kittehcoin,https://kittehcoin.info/,2e-6,NA
kobocoin,http://kobocoin.com,0.021575,NA
komodo,https://komodoplatform.com/,2.24,NA
kronecoin,https://bitcointalk.org/index.php?topic=2068475.0,0.006266,NA
kucoin-shares,https://www.kucoin.com/,0.643426,NA
kurrent,http://kurrentproject.com/,0.004481,NA
kushcoin,https://kushcoin.co,0.017289,NA
lanacoin,https://lanacoin.com/,2.07e-4,NA
landcoin,http://landcoin.co/,0.001167,NA
lathaan,https://lathaan.com/,5.94e-4,NA
lazaruscoin,http://lazaruscoin.com/,0.002111,NA
leacoin,https://bitcointalk.org/index.php?topic=1006917,2.64e-4,NA
leocoin,http://www.leocoin.org/,0.299449,NA
lepen,https://bitcoingarden.org/forum/index.php?topic=12135.0,1.21e-4,NA
